id_product;name;link_rewrite;
"65";"Beetroot 670 gr";"red-beet-670-gr";
"66";"Hot fefferoni 350gr";"feferoni-hot-350gr";
"67";"Peppers with cabbage 670gr";"peppers-with-cabbage-670gr";
"68";"Cornichons 670gr";"cornichons-670gr";
"69";"Cabbage leaves for sarma 1,4kg";"cabbage-leaves-for-sarma-14kg";
"70";"Lutenica 350gr";"lutenica-350gr";
"71";"Mixed vegetables salad 670gr ";"mixed-vegetables-salad-670gr-";
"72";"Hot peppers with cheese 520gr ";"peppers-with-cheese-520gr-";
"73";"Roasted peppers 670gr";"roasted-peppers-670gr";
"59";"Cedevita- orange flavor vitamin drink powder 200g";"cedevita-orange-flavor-vitamin-drink-powder-200g";
"60";"Chutney (ajvar) roasted pepper - mild 350g";"chutney-ajvar-roasted-pepper-mild-350g";
"62";"Vegeta -  food seasoning 250g";"vegeta-food-seasoning-250g";
"63";"Cokolino -  cereals with flavor of chocolate 200g";"cokolino-cereals-with-flavor-of-chocolate-200g";
"64";"Cokolino - cereals chocolate hazelnut 200g";"cokolino-cereals-chocolate-hazelnut-200g";
"58";"Cedevita- lemon flavor vitamin drink powder 200g";"cedevita-lemon-flavor-vitamin-drink-powder-200g";
"12";"Choco plazma biscuit 135g";"coko-plazma-keks120g";
"13";"Plazma ground biscuits 300g ";"plazma-mlevena-300-g";
"15";"Wellness - integral biscuit hazelnut 210g";"wellness-lesnik-keks-210g";
"16";"Doncafe  moment 200g";"doncafe-moment-500g";
"17";"Wellness integral biscuit oatmeal 210g";"wellness-integralni-keks-sa-ovsenim-pahuljicama-210g";
"18";"Wellness integral biscuit halfcoated with dark chocolate and orange 205g";"wellness-integralni-keks-sa-narandzom-preliven-cokoladom-205-g-";
"19";"Wellness integral biscuit raisins 210g";"wellness-integralni-keks-sa-suvim-grozdjem-210g";
"20";"Domacica partly coated tea biscuits 230g";"domacica-partly-coated-tea-biscuits";
"22";"Noblice stuffed tea biscuits 250g";"noblice-stuffed-tea-biscuits";
"23";"Njamb- wafer cubes with cocoa filling 220g";"njamb-wafer-cubes-with-cocoa-filling";
"24";"Njamb choco 130g ";"njamb-choco-130g-";
"26";"Strudla - cake with fruit filling 264g";"strudla-cake-with-fruit-filling-264g";
"27";"Strudla - cake with fruit(fig)filling 264g";"strudla-cake-with-fruitfigfilling-264g";
"28";"Medeno srce - honey heart 150g";"medeno-srce-150g";
"29";"Negro candies 100g";"negro-candies-100g";
"30";"Karamela lesnik - caramel candy 100g";"karamela-lesnikcaramel-candy-100g";
"31";"Galeb chocolate 100g";"galeb-chocolate-100g";
"32";"Bananica - chocolate cream banana 25g";"bananica-25g";
"33";"Najlepse zelje - milk chocolate 90g";"najlepse-zelje-90g";
"34";"Najlepse zelje - chocolate with biscuits 90g";"najlepse-zelje-chocolate-biscuits-90g";
"35";"Najlepse zelje - dark chocolate  75g";"najlepse-zelje-dark-chocolate-75g";
"36";"Najlepse zelje - chocolate with hazelnut 90g";"najlepse-zelje-chocolate-with-hazelnut-90g";
"37";"Najlepse zelje mini - milk chocolate 150g";"najlepse-zelje-mini-milk-chocolate-150g";
"38";"Coko smoki - choco flips 40g";"coko-smoki-choco-flips-40g";
"39";"Smoki - puffed snack with peanuts 50g";"smoki-puffed-snack-with-peanuts-50g";
"40";"Piskote - biscuit 105g";"piskote-biscuit-105g";
"41";"Eurokrem blok 100g";"eurokrem-blok-100g";
"42";"Eurokrem 500g";"eurokrem-500g";
