id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;A/G SANDWICH TUNA 185G;Home;4.25;;;;;;;;;;;;032894015143;;;;;;;;;;;;In stock;;;;
;1;ABU SHMAGH BASMATI RICE 1KG;Home;9.75;;;;;;;;;;;;8901144760015;;;;;;;;;;;;In stock;;;;
;1;ABU SHMAGH BASMATI RICE 2KG;Home;19.00;;;;;;;;;;;;8901144760022;;;;;;;;;;;;In stock;;;;
;1;ACTIMEL MULTI-FRUITS 93ML;Home;2.50;;;;;;;;;;;;6281022119084;;;;;;;;;;;;In stock;;;;
;1;ACTIMEL PLAIN 93ML;Home;2.50;;;;;;;;;;;;6281022119015;;;;;;;;;;;;In stock;;;;
;1;ACTIMEL STRAWBERRY 93ML;Home;2.50;;;;;;;;;;;;6281022119091;;;;;;;;;;;;In stock;;;;
;1;ACTIVIA LABAN 180ML;Home;1.75;;;;;;;;;;;;6281022118421;;;;;;;;;;;;In stock;;;;
;1;ACTIVIA LABAN 375ML;Home;3.50;;;;;;;;;;;;6281022118414;;;;;;;;;;;;In stock;;;;
;1;ACTIVIA LABAN LIGHT LOW FAT 375ML;Home;3.50;;;;;;;;;;;;6281022118070;;;;;;;;;;;;In stock;;;;
;1;ACTIVIA LEBAN LIGHT LOWFAT 180ML;Home;1.75;;;;;;;;;;;;6281022118063;;;;;;;;;;;;;;;;
;1;ACTIVIA YGT STRAWBERY120G;Home;2.00;;;;;;;;;;;;6281022118223;;;;;;;;;;;;;;;;
;1;ACTIVIA YOGHURT FF PLAIN 125G;Home;2.00;;;;;;;;;;;;6281022118308;;;;;;;;;;;;;;;;
;1;ACTIVIA YOGHURT MANGO 120G;Home;2.00;;;;;;;;;;;;6281022118254;;;;;;;;;;;;;;;;
;1;ACTIVIA YOGHURT PEACH APRICOT 120G;Home;2.00;;;;;;;;;;;;6281022118247;;;;;;;;;;;;;;;;
;1;ACTIVIA YOGHURT STRAWBERRY 120 G;Home;2.00;;;;;;;;;;;;6281022118230;;;;;;;;;;;;;;;;
;1;AERO MILK 41G;Home;3.25;;;;;;;;;;;;7613032268107;;;;;;;;;;;;;;;;
;1;AFIA CORN OIL 1.8LTR;Home;29.00;;;;;;;;;;;;6281011134401;;;;;;;;;;;;;;;;
;1;AFIA CORN OIL 750ML;Home;14.00;;;;;;;;;;;;6281011111457;;;;;;;;;;;;;;;;
;1;AFIA OLIVE OIL 250ML;Home;11.50;;;;;;;;;;;;6281011135897;;;;;;;;;;;;;;;;
;1;AFIA OLIVE OIL 500ML;Home;21.50;;;;;;;;;;;;6281011135866;;;;;;;;;;;;;;;;
;1;AFIA S/FLOWER OIL 1.8LTR;Home;25.50;;;;;;;;;;;;6281011135477;;;;;;;;;;;;;;;;
;1;AFIA SUNFLOWER OIL 750ML;Home;11.50;;;;;;;;;;;;6281011135293;;;;;;;;;;;;;;;;
;1;AFTEREIGHT CHOCOLATE 200G;Home;12.50;;;;;;;;;;;;5000189369795;;;;;;;;;;;;;;;;
;1;AIR WICK AIR FRESHNER ROSE 300ML;Home;11.50;;;;;;;;;;;;5000146980179;;;;;;;;;;;;;;;;
;1;AIR WICK CITRUS AIR FRESHNER 300ML;Home;11.50;;;;;;;;;;;;6295120000625;;;;;;;;;;;;;;;;
;1;AIR WICK LAVENDER LAVANDE AIR FRESHNER 300ML;Home;11.50;;;;;;;;;;;;5000146980162;;;;;;;;;;;;;;;;
;1;AIR WICK OUD AIR FRESHNER 300ML;Home;11.50;;;;;;;;;;;;6295120001080;;;;;;;;;;;;;;;;
;1;AIR WICK SANDALWOOD AIR FRESHNER 300ML;Home;11.50;;;;;;;;;;;;5000146980193;;;;;;;;;;;;;;;;
;1;AIRWICK  CANDLE SOFT CASH&VANILLA 180G;Home;38.00;;;;;;;;;;;;3059943015692;;;;;;;;;;;;;;;;
;1;AIRWICK  CANDLE VANILLA 115G;Home;19.50;;;;;;;;;;;;5011417541296;;;;;;;;;;;;;;;;
;1;AIRWICK AEROSOL VANILLA 300ML;Home;11.50;;;;;;;;;;;;6295120000632;;;;;;;;;;;;;;;;
;1;AIRWICK F MATIC CITRUS 250ML;Home;29.75;;;;;;;;;;;;3059943009066;;;;;;;;;;;;;;;;
;1;AIRWICK F MATIC LAVNDER RFL 250ML;Home;29.75;;;;;;;;;;;;3059943009080;;;;;;;;;;;;;;;;
;1;AIRWICK FRESHMATIC CT KIT SPL OFFER;Home;50.00;;;;;;;;;;;;6295120003794;;;;;;;;;;;;;;;;
;1;AIRWICK FRESHMATIC MIDNIGHT ROSE;Home;50.00;;;;;;;;;;;;6295120006092;;;;;;;;;;;;;;;;
;1;AIRWICK REFILL AQUA MARINE 250ML;Home;29.75;;;;;;;;;;;;3059943010406;;;;;;;;;;;;;;;;
;1;AIRWICK REFILL ROSE 250ML;Home;29.75;;;;;;;;;;;;6295120005835;;;;;;;;;;;;;;;;
;1;AKMARAI FRUIT YOGHURT MANGO & PEACH;Home;1.75;;;;;;;;;;;;6281007023931;;;;;;;;;;;;;;;;
;1;AL ALALI DUMPLING MIX 453G;Home;5.75;;;;;;;;;;;;617950200116;;;;;;;;;;;;;;;;
;1;AL ALALI STRAWBERRY CAKE MIX 524G;Home;9.25;;;;;;;;;;;;617950200079;;;;;;;;;;;;;;;;
;1;AL AMARAI LEMON JUICE 1.75 LTR;Home;10.00;;;;;;;;;;;;6281007020176;;;;;;;;;;;;;;;;
;1;AL AMARAI MANGO 200ML;Home;1.50;;;;;;;;;;;;62811248;;;;;;;;;;;;;;;;
;1;AL MARAI  FF MILK 1/2LR;Home;3.50;;;;;;;;;;;;6281007040129;;;;;;;;;;;;;;;;
;1;AL MARAI  STRAWBERRY MILK 360ML;Home;2.75;;;;;;;;;;;;6281007023702;;;;;;;;;;;;;;;;
;1;AL MARAI ALPHONSO MANGO JUICE 1.75LTR;Home;11.75;;;;;;;;;;;;6281007200882;;;;;;;;;;;;;;;;
;1;AL MARAI APPLE JUICE 1.75LTR;Home;10.00;;;;;;;;;;;;6281007200509;;;;;;;;;;;;;;;;
;1;AL MARAI CHOCOLATE MILK 150ML;Home;1.50;;;;;;;;;;;;6281007020282;;;;;;;;;;;;;;;;
;1;AL MARAI CREAM CHEESE 6 PCS;Home;4.00;;;;;;;;;;;;6281007023955;;;;;;;;;;;;;;;;
;1;AL MARAI FF MILK 1LR;Home;6.75;;;;;;;;;;;;6281007040235;;;;;;;;;;;;;;;;
;1;AL MARAI FLAVOURED MILK CHOCO;Home;1.75;;;;;;;;;;;;6281007023719;;;;;;;;;;;;;;;;
;1;AL MARAI FLAVOURED MILK MANGO;Home;1.50;;;;;;;;;;;;6281007022934;;;;;;;;;;;;;;;;
;1;AL MARAI FLAVOURED MILK STRBRY;Home;1.75;;;;;;;;;;;;6281007023696;;;;;;;;;;;;;;;;
;1;AL MARAI FRESH CREAM 100G;Home;4.00;;;;;;;;;;;;62810487;;;;;;;;;;;;;;;;
;1;AL MARAI FRESH LABAN180ML;Home;1.75;;;;;;;;;;;;6281007023139;;;;;;;;;;;;;;;;
;1;AL MARAI FRUIT YOGHURT STRAWBERRY 140G;Home;1.75;;;;;;;;;;;;6281007022101;;;;;;;;;;;;;;;;
;1;AL MARAI HALLOME CHEESE;Home;12.75;;;;;;;;;;;;6281007174060;;;;;;;;;;;;;;;;
;1;AL MARAI JUICE KIWI&LIME 310ML;Home;2.25;;;;;;;;;;;;6281007022415;;;;;;;;;;;;;;;;
;1;AL MARAI JUICE STRAWBERRY 1.75L;Home;11.25;;;;;;;;;;;;6281007201131;;;;;;;;;;;;;;;;
;1;AL MARAI KIWI&LIME JUICE 1.75L;Home;10.00;;;;;;;;;;;;6281007022408;;;;;;;;;;;;;;;;
;1;AL MARAI LABAN LOW FAT 360ML;Home;2.75;;;;;;;;;;;;6281007023511;;;;;;;;;;;;;;;;
;1;AL MARAI LABNEH 200G;Home;4.50;;;;;;;;;;;;6281007021241;;;;;;;;;;;;;;;;
;1;AL MARAI LFMILK 2L;Home;11.00;;;;;;;;;;;;6281007120500;;;;;;;;;;;;;;;;
;1;AL MARAI LONG LIFE LF MILK 1LTR;Home;4.25;;;;;;;;;;;;6281007245920;;;;;;;;;;;;;;;;
;1;AL MARAI LONG LIFE LF MILK 1LTR;Home;4.50;;;;;;;;;;;;6281007021616;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO JUICE 1.75LTR;Home;9.75;;;;;;;;;;;;6281007200738;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007201759;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO MIXED FRUIT JUICE 1.75LTR;Home;11.00;;;;;;;;;;;;6281007200929;;;;;;;;;;;;;;;;
;1;AL MARAI MANGO MIXED FRUIT JUICE 200ML;Home;1.50;;;;;;;;;;;;62811217;;;;;;;;;;;;;;;;
