id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;SAFA CUBES SUGAR 500G;Home;5;;;;;;;;;;;;014796902448;;;;;;;;;;;;In stock;;;;
;1;TANG LEMON JAR 750G;Home;17;;;;;;;;;;;;043000303313;;;;;;;;;;;;In stock;;;;
;1;TANG ORANGE JAR 750G;Home;17;;;;;;;;;;;;043000303368;;;;;;;;;;;;In stock;;;;
;1;AL ARZLEBANESE BREAD L;Home;3;;;;;;;;;;;;6291100800018;;;;;;;;;;;;In stock;;;;
;1;KELLOGGS CORN FLAKES 375GM;Home;14.75;;;;;;;;;;;;4003994111000;;;;;;;;;;;;In stock;;;;
;1;DAVIDOFF SLM MENTHOL;Home;10;;;;;;;;;;;;4030600024669;;;;;;;;;;;;In stock;;;;
;1;REXONA IONIC STICK 40G;Home;11.75;;;;;;;;;;;;4800888138132;;;;;;;;;;;;In stock;;;;
;1;KELLOGGS FRUIT N FIBRE 375G;Home;22;;;;;;;;;;;;5000127079502;;;;;;;;;;;;In stock;;;;
;1;KELLOGS SPECIAL K RED FRUITS 375G;Home;25.25;;;;;;;;;;;;5000127521001;;;;;;;;;;;;In stock;;;;
;1;HEINZ MAYONNAISE 440G;Home;13.5;;;;;;;;;;;;8410066104628;;;;;;;;;;;;In stock;;;;
;1;HEINZ MAYONNAISE 220G;Home;7.5;;;;;;;;;;;;8410066104635;;;;;;;;;;;;In stock;;;;
;1;LURPAK PURE GHEE LUXURY 454G;Home;19;;;;;;;;;;;;5740900400993;;;;;;;;;;;;In stock;;;;
;1;DANISH WHITE CHEESE GREEN 200G;Home;4.5;;;;;;;;;;;;5760466743037;;;;;;;;;;;;In stock;;;;
;1;PUK CREAM HONEY 170G;Home;4.25;;;;;;;;;;;;5760466730471;;;;;;;;;;;;In stock;;;;
;1;COMFORT PINK FLORA SOFT 1L;Home;10.5;;;;;;;;;;;;6281006100206;;;;;;;;;;;;In stock;;;;
;1;COMFORT SPRING DEW  BLU 1L;Home;10.5;;;;;;;;;;;;6281006100169;;;;;;;;;;;;In stock;;;;
;1;LIPTON YELLOW TEA  BAG 100s;Home;18.25;;;;;;;;;;;;6281006850415;;;;;;;;;;;;In stock;;;;
;1;AMERICANA FRESH CAKE MARBLE 230G;Home;6.25;;;;;;;;;;;;6281033305308;;;;;;;;;;;;In stock;;;;
;1;PUCK LABNEH 180G;Home;6;;;;;;;;;;;;6281048052006;;;;;;;;;;;;In stock;;;;
;1;DORITOS NACHO CHEESE 185G;Home;6.25;;;;;;;;;;;;6281036567109;;;;;;;;;;;;In stock;;;;
;1;MASAFI SOOTHING BERRY JUICE 1L;Home;6.75;;;;;;;;;;;;6291001010387;;;;;;;;;;;;In stock;;;;
;1;MASAFI CITRUS JUICE 1L;Home;6.75;;;;;;;;;;;;6291001010547;;;;;;;;;;;;In stock;;;;
;1;MASAFI TROPICAL JUICE 1L;Home;6.75;;;;;;;;;;;;6291001010080;;;;;;;;;;;;In stock;;;;
;1;MASAFI SOOTHING BERRY JUICE 2L;Home;12;;;;;;;;;;;;6291001010400;;;;;;;;;;;;In stock;;;;
;1;MASAFI MELON JUICE 2L;Home;11.5;;;;;;;;;;;;6291001010677;;;;;;;;;;;;In stock;;;;
;1;MASAFI MELON JUICE 1L;Home;6.75;;;;;;;;;;;;6291001010660;;;;;;;;;;;;In stock;;;;
;1;MASAFI PINEAPPLE JUICE 1L;Home;6.75;;;;;;;;;;;;6291001010370;;;;;;;;;;;;In stock;;;;
;1;BEST MIXED NUTS 20G;Home;1.5;;;;;;;;;;;;6291014101614;;;;;;;;;;;;In stock;;;;
;1;LACNOR ORANGE JUICE 180ML;Home;1.25;;;;;;;;;;;;6291016114018;;;;;;;;;;;;In stock;;;;
;1;AL ARZ LEBANESE BREAD S;Home;1.5;;;;;;;;;;;;6291100800056;;;;;;;;;;;;In stock;;;;
;1;SADIA CHICKEN FRANKS 340G;Home;6.5;;;;;;;;;;;;7893000917828;;;;;;;;;;;;In stock;;;;
;1;RITZ CRACKERS 200G;Home;5;;;;;;;;;;;;8410000001211;;;;;;;;;;;;In stock;;;;
;1;CHUPA CHUP COLA  APPLE BIG BUBBLE 29G;Home;2.5;;;;;;;;;;;;84196859;;;;;;;;;;;;In stock;;;;
;1;RAINBOW CARDAMOM 160ML;Home;2.75;;;;;;;;;;;;8716200133159;;;;;;;;;;;;In stock;;;;
;1;ZWAN CHICKEN LUNCHEON MEAT 200G;Home;7.5;;;;;;;;;;;;8714555000218;;;;;;;;;;;;In stock;;;;
;1;RAINBOW  MILK ORIGINAL 385ML;Home;4.5;;;;;;;;;;;;8716200307871;;;;;;;;;;;;In stock;;;;
;1;RAINBOW MILK ORIGINAL 160ML;Home;2.25;;;;;;;;;;;;8716200200769;;;;;;;;;;;;In stock;;;;
;1;RAINBOW EVAPORTED PORTION 14ML;Home;5;;;;;;;;;;;;87162035;;;;;;;;;;;;In stock;;;;
;1;RAINBOW MILK LIGHT 160ML;Home;2.75;;;;;;;;;;;;8716200186896;;;;;;;;;;;;In stock;;;;
;1;KELLOGGS CRUNCHY NUT C/F 500G;Home;24;;;;;;;;;;;;5000127049307;;;;;;;;;;;;In stock;;;;
;1;DOVE DEO ROLL CUCUMBER 50ML;Home;12.5;;;;;;;;;;;;4800888150042;;;;;;;;;;;;In stock;;;;
;1;H&S SHAMPOO CLASSIC CLEAN 200ML;Home;10.75;;;;;;;;;;;;5011321357907;;;;;;;;;;;;In stock;;;;
;1;SADIA CHICKEN GRILLER 1200G;Home;20.75;;;;;;;;;;;;7893000558328;;;;;;;;;;;;In stock;;;;
;1;POWER HORSE SUGAR FREE 250ML;Home;5.5;;;;;;;;;;;;9008442000085;;;;;;;;;;;;In stock;;;;
;1;PERRIER WATER REGULAR 200ML;Home;4.25;;;;;;;;;;;;3179730011864;;;;;;;;;;;;In stock;;;;
;1;KELLOGGS COCO POPS 375G;Home;20;;;;;;;;;;;;4003994127582;;;;;;;;;;;;In stock;;;;
;1;MAXWELL HOUSE COFFEE INSTANT 100G;Home;14.5;;;;;;;;;;;;5000136055450;;;;;;;;;;;;In stock;;;;
;1;PERRIER WATER REGULAR 750ML;Home;8;;;;;;;;;;;;1000002536063;;;;;;;;;;;;In stock;;;;
;1;CHEETOS CRUNCHY CHILLI 210G;Home;9.25;;;;;;;;;;;;6281036247407;;;;;;;;;;;;In stock;;;;
;1;NIVEA SUN LOTION SPF50 200ML;Home;61;;;;;;;;;;;;4005808430208;;;;;;;;;;;;In stock;;;;
;1;KELLOGGS SPECIAL K 375G;Home;19.25;;;;;;;;;;;;5050083192609;;;;;;;;;;;;In stock;;;;
;1;NANDOS HOT PERI PERI SAUCE 125ML;Home;7.5;;;;;;;;;;;;6003770000519;;;;;;;;;;;;In stock;;;;
;1;NANDOS EXTRA HOT PERI PERI SAUCE 125ML;Home;7.5;;;;;;;;;;;;6003770000526;;;;;;;;;;;;In stock;;;;
;1;NANDOS WILD HERB PERI PERI SAUCE 125ML;Home;7.75;;;;;;;;;;;;6003770000205;;;;;;;;;;;;In stock;;;;
;1;NANDOS GARLIC PERI PERI SAUCE 125ML;Home;7.5;;;;;;;;;;;;6003770000199;;;;;;;;;;;;In stock;;;;
;1;ALWAYS SENSITIVE SUPER 10;Home;12.5;;;;;;;;;;;;4015400264156;;;;;;;;;;;;In stock;;;;
;1;TIDE FRONT LOADING 1.5KG;Home;20.5;;;;;;;;;;;;5413149811270;;;;;;;;;;;;In stock;;;;
;1;ARIEL GREEN WITH DOWNY 3KG;Home;39.5;;;;;;;;;;;;5413149809871;;;;;;;;;;;;In stock;;;;
;1;FAIRY REGULAR 500ML;Home;8.5;;;;;;;;;;;;5413149486300;;;;;;;;;;;;In stock;;;;
;1;DOWNY CONCENTRATE VALLEY DEW 1L;Home;17;;;;;;;;;;;;5413149895454;;;;;;;;;;;;In stock;;;;
;1;H&S SHAMPOO EXTRA VOLUME 200ML;Home;10.75;;;;;;;;;;;;5011321360167;;;;;;;;;;;;In stock;;;;
;1;H&S SHAMPOO LIVELY SILKY 200ML;Home;10.75;;;;;;;;;;;;5011321359819;;;;;;;;;;;;In stock;;;;
;1;H&S SHAMPOO REFRESHING 200ML;Home;10.75;;;;;;;;;;;;5011321360259;;;;;;;;;;;;In stock;;;;
;1;H&S SHAMPOO NATURAL FRESH 200ML;Home;10.75;;;;;;;;;;;;5011321360280;;;;;;;;;;;;In stock;;;;
;1;OMO TL 300G COMPACTED;Home;6.5;;;;;;;;;;;;6281006121126;;;;;;;;;;;;In stock;;;;
;1;DOVE DEO STICK GO FRESH CUCUMBER 40G;Home;13;;;;;;;;;;;;4800888151445;;;;;;;;;;;;In stock;;;;
;1;DOVE DEO STICK ORIGINAL 40G;Home;13;;;;;;;;;;;;4800888144089;;;;;;;;;;;;In stock;;;;
;1;COMFORT CONC LAVENDER&MANGOLIA 750ML;Home;14.5;;;;;;;;;;;;6281006130920;;;;;;;;;;;;In stock;;;;
;1;LURPAK BUTTER S 200G;Home;8.5;;;;;;;;;;;;5740900861305;;;;;;;;;;;;In stock;;;;
;1;PUCK WHIPPING CREAM 200ML;Home;5.5;;;;;;;;;;;;5700426230177;;;;;;;;;;;;In stock;;;;
;1;PUCK THICK CREAM 250ML;Home;4.75;;;;;;;;;;;;6281048103104;;;;;;;;;;;;In stock;;;;
;1;LACNOR COCKTAIL JUICE 1L;Home;6.25;;;;;;;;;;;;6291016111024;;;;;;;;;;;;In stock;;;;
;1;LOACKER QUADARATINI 125G;Home;7.75;;;;;;;;;;;;8000380142460;;;;;;;;;;;;In stock;;;;
;1;PURE ICE 1KG;Home;2.75;;;;;;;;;;;;000001826098;;;;;;;;;;;;In stock;;;;
;1;GYMA ALMOND SHELED 200G;Home;14;;;;;;;;;;;;3434410003745;;;;;;;;;;;;In stock;;;;
;1;GYMA HAZELNUT SHELLED 200G;Home;16.75;;;;;;;;;;;;3434410003950;;;;;;;;;;;;In stock;;;;
;1;HD MINI CUP PRALINES CREAM 100ML;Home;8;;;;;;;;;;;;3415581353143;;;;;;;;;;;;In stock;;;;
;1;HALLOUMI CHEESE 200G;Home;14;;;;;;;;;;;;5290043001644;;;;;;;;;;;;In stock;;;;
;1;AL ARZ ARABIC BREAD BROWN S;Home;2;;;;;;;;;;;;6291100800049;;;;;;;;;;;;In stock;;;;
;1;AL ARZ SAMOON;Home;1.75;;;;;;;;;;;;6291100800094;;;;;;;;;;;;In stock;;;;
;1;DOUBLEA A4 PAPER;Home;17.75;;;;;;;;;;;;8856976000016;;;;;;;;;;;;In stock;;;;
;1;PERRIER WATER 330ML;Home;4.5;;;;;;;;;;;;3179730011857;;;;;;;;;;;;In stock;;;;
;1;LIBBYS ORANGE JUICE 296ML;Home;2.25;;;;;;;;;;;;788930133127;;;;;;;;;;;;In stock;;;;
;1;GATORADE TROPICAL FRUIT 500ML;Home;4.5;;;;;;;;;;;;4803925061103;;;;;;;;;;;;In stock;;;;
;1;AL KABEER CHEESE SAMOSA 240G;Home;13;;;;;;;;;;;;5033712150010;;;;;;;;;;;;In stock;;;;
;1;AL KABEER CHICKEN SAMOSA 40G;Home;12.5;;;;;;;;;;;;5033712160057;;;;;;;;;;;;In stock;;;;
;1;AL KABEER VEGETABLE SAMOSA 240G;Home;12.5;;;;;;;;;;;;5033712150041;;;;;;;;;;;;In stock;;;;
;1;AL KABEER CHICKEN SPRING ROLL 40G;Home;13;;;;;;;;;;;;5033712160064;;;;;;;;;;;;In stock;;;;
;1;AL KABEER PLAIN PARATHA 400G;Home;6;;;;;;;;;;;;5033712150522;;;;;;;;;;;;In stock;;;;
;1;MASAFI PINEAPPLE JUICE2L;Home;11.5;;;;;;;;;;;;6291001010394;;;;;;;;;;;;In stock;;;;
;1;HD CREAM CRISP COOKIES & CREAM 71G;Home;9;;;;;;;;;;;;3415589552012;;;;;;;;;;;;In stock;;;;
;1;PHILIPS ENERGY SAVER 23W E27;Home;17;;;;;;;;;;;;8710163396071;;;;;;;;;;;;In stock;;;;
;1;HALLOUMI CHEESE LIGHT 200G;Home;16.5;;;;;;;;;;;;5290043002207;;;;;;;;;;;;In stock;;;;
