id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;FOSTER CLARKS VANILLA POWDER 15G;Home;4.5000;;;;;;;;;;;;5352101800191;;;;;;;;;;;;In stock;;;;
;1;GILLET SERIES GEL EXTRA COMFORT 200ML;Home;"17;00";;;;;;;;;;;;3014260307387;;;;;;;;;;;;In stock;;;;
;1;KIWI HI-SHINE SPONGES;Home;"7;00";;;;;;;;;;;;3181730162002;;;;;;;;;;;;In stock;;;;
;1;HE SHAMPOO DAZZLING SHINE 200ML;Home;8.7500;;;;;;;;;;;;5011321609631;;;;;;;;;;;;In stock;;;;
;1;CADBURY CURLY WURLY 26G;Home;1.7500;;;;;;;;;;;;5034660505181;;;;;;;;;;;;In stock;;;;
;1;MAGGI BEEF STOCK 22G;Home;1.0000;;;;;;;;;;;;6221007004073;;;;;;;;;;;;In stock;;;;
;1;AMERICANA HUMBURGER 4PCS;Home;8.5000;;;;;;;;;;;;6281050113054;;;;;;;;;;;;In stock;;;;
;1;AMERICANA CHICKEN BURGER 200G;Home;7.5000;;;;;;;;;;;;6281050114297;;;;;;;;;;;;In stock;;;;
;1;AMERICANA CHICKEN NUGGETS 270G;Home;13.5000;;;;;;;;;;;;6281050114082;;;;;;;;;;;;In stock;;;;
;1;AMERICANA CHICKEN NUGGETS CHEESE 400G;Home;20.0000;;;;;;;;;;;;6281050114235;;;;;;;;;;;;In stock;;;;
;1;AMERICANA CRAZY NUGGETS 400G;Home;20.0000;;;;;;;;;;;;6281050114105;;;;;;;;;;;;In stock;;;;
;1;AMERICANA BEEF FRANKFURTERS 400G;Home;13.2500;;;;;;;;;;;;6281050117014;;;;;;;;;;;;In stock;;;;
;1;AMERICANA SHISH KABABS BEEF 320G;Home;11.5000;;;;;;;;;;;;6281050115058;;;;;;;;;;;;In stock;;;;
;1;AMERICANA BEEF HOT DOG 450G;Home;13.7500;;;;;;;;;;;;6281050117021;;;;;;;;;;;;In stock;;;;
;1;AMERICANA HAMBURGER 8PCS;Home;14.5000;;;;;;;;;;;;6281050113047;;;;;;;;;;;;In stock;;;;
;1;CLOROX REGULAR 1G;Home;19.7500;;;;;;;;;;;;6281065011284;;;;;;;;;;;;In stock;;;;
;1;CLOROX FOR COLOR 0.95L;Home;13.0000;;;;;;;;;;;;6281065063207;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI MILK FC 2L;Home;11.0000;;;;;;;;;;;;6291030200025;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI MILK FC 250ML;Home;2.0000;;;;;;;;;;;;6291030200056;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI YOGHURT 1KG;Home;7.5000;;;;;;;;;;;;6291030400241;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI YOGHURT FC 170GM;Home;1.2500;;;;;;;;;;;;6291030400029;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI MILK FC 500ML;Home;3.5000;;;;;;;;;;;;6291030200049;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI MILK FC 1L;Home;6.7500;;;;;;;;;;;;6291030200032;;;;;;;;;;;;In stock;;;;
;1;PRIYA GARLIC PASTE 300G;Home;14.0000;;;;;;;;;;;;785018087235;;;;;;;;;;;;In stock;;;;
;1;KOKA CUP NOODLES BEEF 70G;Home;4.0000;;;;;;;;;;;;8888056705603;;;;;;;;;;;;In stock;;;;
;1;KOKA CUP NOODLES VEGETABLE 70G;Home;4.0000;;;;;;;;;;;;8888056707218;;;;;;;;;;;;In stock;;;;
;1;KIWI GLINT GLASS CLEAN 500ML;Home;9.0000;;;;;;;;;;;;5283000401014;;;;;;;;;;;;In stock;;;;
;1;POKKA SPORTS WATER 300ML;Home;3.2500;;;;;;;;;;;;8888196141118;;;;;;;;;;;;In stock;;;;
;1;AMERICANA BEEF MEAT BALLS 400G;Home;13.0000;;;;;;;;;;;;6281050115034;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI LEMONONAD 500ML;Home;2.7500;;;;;;;;;;;;6291030108024;;;;;;;;;;;;In stock;;;;
;1;SCOTCH BRITE 3M TRIPLE NAILSAVER 2+1;Home;7.5000;;;;;;;;;;;;8690734354511;;;;;;;;;;;;In stock;;;;
;1;CREST CAVTY PROTECTION MINT  125G;Home;6.7500;;;;;;;;;;;;5000174422467;;;;;;;;;;;;In stock;;;;
;1;AMERICANA CHICKEN POPCORN 400G;Home;18.0000;;;;;;;;;;;;6281050114402;;;;;;;;;;;;In stock;;;;
;1;PRIYA GINGER PASTE 300G;Home;7.5000;;;;;;;;;;;;785018087228;;;;;;;;;;;;In stock;;;;
;1;AL AIN WATER 1.5L;Home;1.7500;;;;;;;;;;;;6291100850068;;;;;;;;;;;;In stock;;;;
;1;DUREX FETHERLITE 3s;Home;17.0000;;;;;;;;;;;;5010232953994;;;;;;;;;;;;In stock;;;;
;1;EFFECT ENERGY DRINK;Home;5.0000;;;;;;;;;;;;4025127020287;;;;;;;;;;;;In stock;;;;
