id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;MAZOLA SUNFLOWER OIL 750ML;Home;11.5000;;;;;;;;;;;;6281003103033;;;;;;;;;;;;In stock;;;;
;1;MAZOLA CORN OIL 750ML;Home;13.2500;;;;;;;;;;;;6281003101299;;;;;;;;;;;;In stock;;;;
;1;COMFORT ROSE&MUSK 750ML;Home;14.7500;;;;;;;;;;;;6281006130906;;;;;;;;;;;;In stock;;;;
;1;SUNSILK HAIR CREAM HAIR FALL 175ML;Home;14.7500;;;;;;;;;;;;6281006450233;;;;;;;;;;;;In stock;;;;
;1;KNORR MAYONNAISE 295ML;Home;10.2500;;;;;;;;;;;;6281006794009;;;;;;;;;;;;In stock;;;;
;1;KNORR MUSHROOM SOUP 53G;Home;4.0000;;;;;;;;;;;;62811668;;;;;;;;;;;;In stock;;;;
;1;KNORR SOUP CREAM OF CHICKEN 54G;Home;4.0000;;;;;;;;;;;;62811675;;;;;;;;;;;;In stock;;;;
;1;BEST SUNFLOWER SEEDS 70G;Home;2.2500;;;;;;;;;;;;6291014102819;;;;;;;;;;;;In stock;;;;
;1;SIRKKU SUGAR CUBES 750G;Home;10.7500;;;;;;;;;;;;6414000001723;;;;;;;;;;;;In stock;;;;
;1;ZWAN CHICKEN HOT DOG 400G;Home;11.5000;;;;;;;;;;;;8714555000157;;;;;;;;;;;;In stock;;;;
;1;KOKA CUP NOODLES CHICKEN 70G;Home;4.0000;;;;;;;;;;;;8888056705108;;;;;;;;;;;;In stock;;;;
;1;AMERICANA FRENCH FRIES 1KG;Home;8.5000;;;;;;;;;;;;6223001751014;;;;;;;;;;;;In stock;;;;
;1;KIT KAT FINE DARK 45G;Home;3.0000;;;;;;;;;;;;40057767;;;;;;;;;;;;In stock;;;;
;1;MAZOLA SUNFLOWER OIL 1.8L;Home;22.0000;;;;;;;;;;;;6281003103040;;;;;;;;;;;;In stock;;;;
;1;NIVEA SOAP PEARL &BEAUTY 125G;Home;4.0000;;;;;;;;;;;;4005808325191;;;;;;;;;;;;In stock;;;;
;1;KIT KAT SENSES HAZELNUT 31G;Home;2.7500;;;;;;;;;;;;3800020456088;;;;;;;;;;;;In stock;;;;
;1;REXONA DEO SPRAY QUANTUM 75ML;Home;16.0000;;;;;;;;;;;;7791293009797;;;;;;;;;;;;In stock;;;;
;1;FINE SUGAR 1KG;Home;4.7500;;;;;;;;;;;;2247011452260;;;;;;;;;;;;In stock;;;;
;1;SADIA CHICKEN GIZZARDS 450G;Home;10.0000;;;;;;;;;;;;7893000461246;;;;;;;;;;;;In stock;;;;
;1;EMMENTAL SHREDDED 200G;Home;13.7500;;;;;;;;;;;;3184030003488;;;;;;;;;;;;In stock;;;;
;1;NIVEA SHOWER COOL KICK FOR MEN 250ML;Home;14.7500;;;;;;;;;;;;4005808196746;;;;;;;;;;;;In stock;;;;
;1;AL RAWABI B-ACTIVE ORANGE & OATS BOOST 200ML;Home;2.2500;;;;;;;;;;;;6291030506011;;;;;;;;;;;;In stock;;;;
;1;COMFORT CONC JASMIN & CEDARWOOD 750ML;Home;14.7500;;;;;;;;;;;;6281006130883;;;;;;;;;;;;In stock;;;;
;1;AXE TWIST DEO SPRAY 160ML;Home;17.0000;;;;;;;;;;;;7791293013480;;;;;;;;;;;;In stock;;;;
;1;EMMENTHAL BLOCK 220G;Home;15.5000;;;;;;;;;;;;3412290023800;;;;;;;;;;;;In stock;;;;
;1;DOVE FRESH TOUCH SHOWER GEL 250ML;Home;10.0000;;;;;;;;;;;;6281006472815;;;;;;;;;;;;In stock;;;;
;1;MONTE CHRISTO WHITE CHEDDAR CHEESE 230G;Home;16.7500;;;;;;;;;;;;5701638135595;;;;;;;;;;;;In stock;;;;
;1;EMIRATES CORONI 400G;Home;4.7500;;;;;;;;;;;;6291047020456;;;;;;;;;;;;In stock;;;;
;1;EMIRATES VERMICELLI CUT 400G;Home;4.7500;;;;;;;;;;;;6291047020487;;;;;;;;;;;;In stock;;;;
;1;EMIRATES PENNE 400G;Home;4.7500;;;;;;;;;;;;6291047020876;;;;;;;;;;;;In stock;;;;
;1;EMIRATES SHELL BIG 400G;Home;4.7500;;;;;;;;;;;;6291047020630;;;;;;;;;;;;In stock;;;;
;1;ALBAKER ALL PURPOSE FLOUR 1KG;Home;5.7500;;;;;;;;;;;;6291003058103;;;;;;;;;;;;In stock;;;;
;1;MONTE CHRISTO RED CHEDDAR CHEESE 200G;Home;16.7500;;;;;;;;;;;;5701638135601;;;;;;;;;;;;In stock;;;;
;1;HIMALAYA HONEY 250GMS;Home;8.7500;;;;;;;;;;;;8906021921015;;;;;;;;;;;;In stock;;;;
;1;AXE DEO EXCITE ARABIC 160ML;Home;17.0000;;;;;;;;;;;;7791293006697;;;;;;;;;;;;In stock;;;;
;1;ARIEL BLUE  260G;Home;4.7500;;;;;;;;;;;;5410076225866;;;;;;;;;;;;In stock;;;;
;1;VASELINE PETROL JELLY 60ML;Home;5.7500;;;;;;;;;;;;89004821;;;;;;;;;;;;In stock;;;;
;1;REXONA MEN SPORT DEF SPRAY 175ML;Home;17.2500;;;;;;;;;;;;7791293013473;;;;;;;;;;;;In stock;;;;
;1;EMIRATES SEDANO FULL 400G;Home;4.7500;;;;;;;;;;;;6291047020517;;;;;;;;;;;;In stock;;;;
;1;ACTIVIA YGT STRAWBERY120G;Home;2.0000;;;;;;;;;;;;6281022118223;;;;;;;;;;;;In stock;;;;
;1;NESQUIK DUOCEREAL 355G;Home;17.5000;;;;;;;;;;;;5900020013453;;;;;;;;;;;;In stock;;;;
;1;NIVEA HAPPY TIME CREAM SOAP;Home;4.0000;;;;;;;;;;;;4005808530601;;;;;;;;;;;;In stock;;;;
;1;TERMINATOR TRAVEL ADAPTOR;Home;.1000;;;;;;;;;;;;4895058403387;;;;;;;;;;;;In stock;;;;
;1;COOKQUIK LENTILS 454G;Home;6.5000;;;;;;;;;;;;071187201160;;;;;;;;;;;;In stock;;;;
;1;COOKQUIK RED KIDNEY BEANS 454G;Home;9.7500;;;;;;;;;;;;071187201078;;;;;;;;;;;;In stock;;;;
;1;COOKQUIK WHOLE GREEN PEAS 454G;Home;6.5000;;;;;;;;;;;;071187201177;;;;;;;;;;;;In stock;;;;
;1;COOKQUIK SMALL RED BEANS 454G;Home;8.2500;;;;;;;;;;;;071187201139;;;;;;;;;;;;In stock;;;;
;1;COOKQUIK SMALL WHITE BEANS 454G;Home;9.7500;;;;;;;;;;;;071187201047;;;;;;;;;;;;In stock;;;;
;1;MAGGI CHICKEN LESS SALT STOCK 20G;Home;1.0000;;;;;;;;;;;;6221007019176;;;;;;;;;;;;In stock;;;;
;1;NESTLE MILKYBAR 12G;Home;1.2500;;;;;;;;;;;;50294282;;;;;;;;;;;;In stock;;;;
;1;FITNESS STRAWBERRIES & CLUSTERS CEREALS 360G;Home;26.0000;;;;;;;;;;;;8690632012100;;;;;;;;;;;;In stock;;;;
;1;FITNESS HONEY & ALMOND ZIP UP 425G;Home;20.0000;;;;;;;;;;;;7613033681349;;;;;;;;;;;;In stock;;;;
;1;NESTLE FITNESS WHOLE GRAIN ZIP UP 450G;Home;16.7500;;;;;;;;;;;;3387390129717;;;;;;;;;;;;In stock;;;;
;1;MAZOLA CORN OIL 1.8L;Home;25.0000;;;;;;;;;;;;1000002710562;;;;;;;;;;;;In stock;;;;
;1;7 DAYS WAFER STICKS 25G;Home;1.2500;;;;;;;;;;;;6281183000115;;;;;;;;;;;;In stock;;;;
;1;PLAZMA GROUND BICUIT 300G;Home;14.0000;;;;;;;;;;;;8600043016123;;;;;;;;;;;;In stock;;;;
;1;PLAZMA 150G;Home;8.0000;;;;;;;;;;;;8600043016093;;;;;;;;;;;;In stock;;;;
;1;WELLNESS DIGESTIVE W/OAT FLAKES;Home;7.0000;;;;;;;;;;;;8600043018455;;;;;;;;;;;;In stock;;;;
;1;WELLNESS DIGESTIVE W/ HAZELNUT;Home;9.0000;;;;;;;;;;;;8600043018516;;;;;;;;;;;;In stock;;;;
;1;WELLNESS DIGESTIVE W/ ORANGE;Home;9.2500;;;;;;;;;;;;8600043018493;;;;;;;;;;;;In stock;;;;
;1;WELLNESS DIGESTIVE W/ RAISINS;Home;7.0000;;;;;;;;;;;;8600043018479;;;;;;;;;;;;In stock;;;;
;1;YOYO PUFFED RICE 120G;Home;7.0000;;;;;;;;;;;;8600043007923;;;;;;;;;;;;In stock;;;;
;1;PLAZMA CHOCO 135G;Home;9.0000;;;;;;;;;;;;8600043016253;;;;;;;;;;;;In stock;;;;
;1;MILK CHOCOLATE W/ PLAZMA 35G;Home;3.0000;;;;;;;;;;;;8600043013290;;;;;;;;;;;;In stock;;;;
;1;DONCAFE 200G;Home;19.0000;;;;;;;;;;;;8600101521439;;;;;;;;;;;;In stock;;;;
;1;DONCAFE 500G;Home;44.0000;;;;;;;;;;;;8600101521675;;;;;;;;;;;;In stock;;;;
;1;STRUDLE MIX FRUIT;Home;9.0000;;;;;;;;;;;;8600104000498;;;;;;;;;;;;In stock;;;;
;1;STRUDLA SMOKVA (FIG);Home;9.0000;;;;;;;;;;;;8600104000467;;;;;;;;;;;;In stock;;;;
;1;CHOCO BANANICA;Home;1.5000;;;;;;;;;;;;86006675;;;;;;;;;;;;In stock;;;;
;1;NAJLEPSE ZELJE MILK CHOCOLATE;Home;7.0000;;;;;;;;;;;;8600939313602;;;;;;;;;;;;In stock;;;;
;1;NAJLEPSE ZELJE CHOCO E/ BISCUIT;Home;6.0000;;;;;;;;;;;;8600939344057;;;;;;;;;;;;In stock;;;;
;1;NAJLEPSE ZELJE CHOCO 75% CACAO;Home;7.0000;;;;;;;;;;;;8600939303016;;;;;;;;;;;;In stock;;;;
;1;NAJLEPSE ZELJE CHOCO W/ HAZELNUT;Home;7.5000;;;;;;;;;;;;8600939344248;;;;;;;;;;;;In stock;;;;
;1;NAJLEPSE ZELJE CHOCO MINI 150G;Home;13.5000;;;;;;;;;;;;8600939313381;;;;;;;;;;;;In stock;;;;
;1;SMOKI 50G;Home;3.0000;;;;;;;;;;;;8600939506912;;;;;;;;;;;;In stock;;;;
;1;CHOCO SMOKI 40G;Home;3.7500;;;;;;;;;;;;8600939375631;;;;;;;;;;;;In stock;;;;
;1;EUROCREM 500G;Home;24.0000;;;;;;;;;;;;8601900503411;;;;;;;;;;;;In stock;;;;
;1;DORINA MILK CHOCOLATE;Home;6.2500;;;;;;;;;;;;3850102111961;;;;;;;;;;;;In stock;;;;
;1;KRAS CHOCO NAPOLITANKE;Home;15.0000;;;;;;;;;;;;3850102320080;;;;;;;;;;;;In stock;;;;
;1;KRAS NAPOLITANKE NOUGAT;Home;14.5000;;;;;;;;;;;;3850102322800;;;;;;;;;;;;In stock;;;;
;1;KRAS BAJADERA 200G;Home;27.0000;;;;;;;;;;;;3850102230044;;;;;;;;;;;;In stock;;;;
;1;KRAS LADA TEA BISCUIT;Home;14.0000;;;;;;;;;;;;3850102310951;;;;;;;;;;;;In stock;;;;
;1;KRAS EXPRESS 200G;Home;10.0000;;;;;;;;;;;;3850102126903;;;;;;;;;;;;In stock;;;;
;1;DORINA CHOCO PUFFED W/ RICE;Home;6.0000;;;;;;;;;;;;3850102123681;;;;;;;;;;;;In stock;;;;
